fandoms,category,count,share_within_fandom
Bleach,F/F,4,0.14285714285714285
Bleach,F/M,3,0.10714285714285714
Bleach,Gen,4,0.14285714285714285
Bleach,M/M,13,0.4642857142857143
Bleach,Multi,4,0.14285714285714285
Chainsaw Man (Manga) | Chainsaw Man (Anime),F/F,1,0.030303030303030304
Chainsaw Man (Manga) | Chainsaw Man (Anime),F/M,7,0.21212121212121213
Chainsaw Man (Manga) | Chainsaw Man (Anime),M/M,23,0.696969696969697
Chainsaw Man (Manga) | Chainsaw Man (Anime),Multi,1,0.030303030303030304
Chainsaw Man (Manga) | Chainsaw Man (Anime),Other,1,0.030303030303030304
Haikyuu!!,F/F,1,0.014925373134328358
Haikyuu!!,F/M,2,0.029850746268656716
Haikyuu!!,Gen,4,0.05970149253731343
Haikyuu!!,M/M,59,0.8805970149253731
Haikyuu!!,Multi,1,0.014925373134328358
Hunter X Hunter,F/M,4,0.0975609756097561
Hunter X Hunter,Gen,6,0.14634146341463414
Hunter X Hunter,M/M,31,0.7560975609756098
Naruto,F/F,9,0.09473684210526316
Naruto,F/M,24,0.25263157894736843
Naruto,Gen,15,0.15789473684210525
Naruto,M/M,21,0.22105263157894736
Naruto,Multi,20,0.21052631578947367
Naruto,No category,4,0.042105263157894736
Naruto,Other,2,0.021052631578947368
One Piece,F/F,6,0.08695652173913043
One Piece,F/M,6,0.08695652173913043
One Piece,Gen,22,0.3188405797101449
One Piece,M/M,28,0.4057971014492754
One Piece,Multi,5,0.07246376811594203
One Piece,No category,2,0.028985507246376812
SPY x FAMILY (Manga) | SPY x FAMILY (Anime),F/M,47,0.746031746031746
SPY x FAMILY (Manga) | SPY x FAMILY (Anime),Gen,16,0.25396825396825395
Shingeki no Kyojin | Attack on Titan,F/F,3,0.046875
Shingeki no Kyojin | Attack on Titan,F/M,16,0.25
Shingeki no Kyojin | Attack on Titan,Gen,9,0.140625
Shingeki no Kyojin | Attack on Titan,M/M,33,0.515625
Shingeki no Kyojin | Attack on Titan,Multi,2,0.03125
Shingeki no Kyojin | Attack on Titan,Other,1,0.015625
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,F/F,3,0.03260869565217391
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,F/M,15,0.16304347826086957
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Gen,32,0.34782608695652173
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,M/M,29,0.31521739130434784
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Multi,9,0.09782608695652174
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,No category,4,0.043478260869565216
原神 | Genshin Impact (Video Game),F/F,8,0.1038961038961039
原神 | Genshin Impact (Video Game),F/M,14,0.18181818181818182
原神 | Genshin Impact (Video Game),Gen,5,0.06493506493506493
原神 | Genshin Impact (Video Game),M/M,45,0.5844155844155844
原神 | Genshin Impact (Video Game),Multi,3,0.03896103896103896
原神 | Genshin Impact (Video Game),Other,2,0.025974025974025976
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),F/F,3,0.06382978723404255
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),F/M,3,0.06382978723404255
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),Gen,5,0.10638297872340426
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),M/M,31,0.6595744680851063
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),Multi,1,0.02127659574468085
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),No category,2,0.0425531914893617
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),Other,2,0.0425531914893617
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),F/M,3,0.1875
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),Gen,7,0.4375
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),M/M,5,0.3125
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),Multi,1,0.0625
