fandoms,work_count
Haikyuu!!,60
原神 | Genshin Impact (Video Game),59
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,56
One Piece,51
Naruto,50
SPY x FAMILY (Manga) | SPY x FAMILY (Anime),48
Shingeki no Kyojin | Attack on Titan,48
Hunter X Hunter,39
呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),36
Chainsaw Man (Manga) | Chainsaw Man (Anime),30
Bleach,19
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),14
Fullmetal Alchemist: Brotherhood & Manga | Harry Potter - J. K. Rowling,12
Chainsaw Man (Manga),11
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga),11
鬼滅の刃 | Kimetsu no Yaiba (Manga) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),11
呪術廻戦 | Jujutsu Kaisen (Anime) | 呪術廻戦 | Jujutsu Kaisen (Manga),10
Fullmetal Alchemist | Fullmetal Alchemist: Brotherhood & Manga,10
Fullmetal Alchemist: Brotherhood & Manga,7
Fullmetal Alchemist - All Media Types | Fullmetal Alchemist: Brotherhood & Manga,7
SPY x FAMILY (Manga),7
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),7
Hunter X Hunter | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,6
Naruto | 呪術廻戦 | Jujutsu Kaisen (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime),5
Naruto | Hunter X Hunter,5
One Piece (Anime & Manga),5
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Naruto,5
呪術廻戦 | Jujutsu Kaisen (Anime) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Bleach (Anime & Manga) | All Around Type-Moon (Manga) | Fate/Grand Order | Fate/stay night & Related Fandoms | Fate/kaleid liner PRISMA ILLYA | ワンパンマン | One-Punch Man | One Piece (Anime & Manga) | Shingeki no Kyojin | Attack on Titan | Akame ga Kill! (Anime & Manga) | Fairy Tail | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! (Anime & Manga) | 異世界かるてっと | Isekai Quartet (Anime) | Overlord (MADHOUSE Anime) | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Anime) | Re:ゼロから始める異世界生活 | Re:Zero Starting Life in Another World (Anime) | Fate/strange fake | Toaru Majutsu no Index | A Certain Magical Index | Multi-Fandom,5
Fullmetal Alchemist: Brotherhood & Manga | Fullmetal Alchemist - All Media Types,4
Chainsaw Man (Manga) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Chainsaw Man (Anime),4
崩坏：星穹铁道 | Honkai: Star Rail (Video Game) | 崩坏3rd | Honkai Impact 3rd (Video Game) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | 原神 | Genshin Impact (Video Game) | 葬送のフリーレン | Sousou no Frieren | Frieren: Beyond Journey's End (Anime) | 呪術廻戦 | Jujutsu Kaisen (Anime) | Akame ga Kill! (Anime & Manga) | Arcane: League of Legends (Cartoon 2021) | Bleach (Anime & Manga) | Naruto (Anime & Manga) | Hunter X Hunter | Multi-Fandom | Zenless Zone Zero (Video Game) | Overlord (MADHOUSE Anime) | ダンジョン飯 | Dungeon Meshi | Delicious in Dungeon | グラップラー刃牙 | Baki the Grappler | ワンパンマン | One-Punch Man | Chainsaw Man (Anime) | Fate/stay night & Related Fandoms | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! (Anime & Manga) | Shingeki no Kyojin | Attack on Titan | ジョジョの奇妙な冒険 | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure | Marvel Cinematic Universe,4
SPY x FAMILY (Anime) | SPY x FAMILY (Manga),3
